date,district,county,purpose,result,for,against,years,amount,mills_pct,pct_for,new_renew
5/1/2023,Maplewood Local,Trumbull,Tax Levy - Emergency requirements,Passed,276,134,10,246285,2.2,0.673170732,Renewal
5/1/2023,Marysville Exempted Village,Union,Tax Levy - Avoiding an operating deficit,Failed,3141,4060,5,9641968,8.4,0.436189418,Additional
5/1/2023,Midview Local,Lorain,Tax Levy - Necessary requirements,Passed,3003,1276,10,6200000,8.69,0.701799486,Substitute
5/1/2023,Mogadore Local,Summit,Tax Levy - Current expenses,Failed,258,657,CPT,0,9.9,0.281967213,Additional
5/1/2023,Napoleon Area City,Henry,"Combination - Construct, renovate & expand existing school facilities including a new multi-purpose building, & furnish & equip the same & current operating and renovating and expanding existing school facilities & current expenses",Failed,434,2416,37/5,21500000,4.5,0.152280702,N/A
5/1/2023,North Ridgeville City,Lorain,"Bond - Construct, add to, renovate, remodel, furnish, equip, and improve district buildings and facilities",Failed,3566,3603,37,190025000,N/A,0.497419445,N/A
5/1/2023,Northmont City,Montgomery,Tax Levy - Emergency requirements,Failed,2136,2918,10,5800000,7.82,0.422635536,Additional
5/1/2023,Northridge Local,Licking,Tax Levy - Emergency requirements,Passed,731,584,5,2100000,5.5,0.555893536,Renewal
5/1/2023,Northwest Local,Hamilton,"Bond - Paying the local share of school construction, improve, renovate & add to facilities, including preschool, elementary & middle schools; equip, furnish & improve their sites",Failed,2831,8610,38,168600000,N/A,0.247443405,N/A
5/1/2023,Parma City,Cuyahoga,"Bond - Construct, furnish, and equip a new high school and improve other School District buildings and facilities.",Failed,6727,7750,36,199000000,N/A,0.464668094,N/A
5/1/2023,Perkins Local,Erie,"Bond - Construct, furnish, and equip a new middle school and high school; Renovate and improve other district buildings & facilities",Failed,979,1571,37,76000000,N/A,0.383921569,N/A
5/1/2023,Perry Local,Stark,Tax Levy - Emergency requirements,Failed,1730,3632,5,6200000,7.3,0.322640806,Additional
5/1/2023,Ravenna City,Portage,Tax Levy - Current expenses,Failed,550,934,5,0,6.9,0.370619946,Additional
5/1/2023,River Valley Local,Marion,"Combination - Renovate, repair, construct, furnish & equip school facilities, including safety & security improvements & permanent improvements",Failed,832,1119,25/CPT,21100000,2.5,0.426447975,N/A
5/1/2023,River Valley Local,Marion,Income Tax - Current operating expenses,Failed,850,1099,20,0,0.01,0.436121088,Renewal
5/1/2023,Riverdale Local,Hardin,Income Tax - Current expenses,Passed,583,181,3,0,0.01,0.763089005,Continuation
5/1/2023,Ross Local,Butler,Tax Levy - Avoiding an operating deficit,Failed,1986,2820,5,4455159,9.44,0.413233458,Additional
5/1/2023,Salem City,Columbiana,"Combination - Construct school facilities for grades PK-8, furnish, equip and improve the sites and permanent improvements",Failed,905,1140,37/CPT,22500000,0.5,0.442542787,N/A
5/1/2023,Springfield Local,Summit,Tax Levy - Emergency requirements,Failed,1264,1364,5,1739000,3.77,0.480974125,Additional
5/1/2023,Stow-Munroe Falls City,Summit,Tax Levy - Emergency requirements,Passed,2065,1356,10,7300000,6.28,0.603624671,Renewal
5/1/2023,Triway Local,Wayne,Tax Levy - Emergency requirements,Failed,280,290,3,1200000,2.8,0.49122807,Renewal
5/1/2023,Van Buren Local,Hancock,Tax Levy - Emergency requirements,Passed,467,335,10,1275000,3,0.582294264,Renewal
5/1/2023,Vandalia-Butler City,Montgomery,Income Tax - Current expenses,Failed,1500,2183,5,0,0.01,0.407276677,Additional
5/1/2023,Walnut Township Local,Fairfield,Income Tax - Current operating expenses,Passed,381,266,10,0,0.0175,0.588871716,Renewal
5/1/2023,Waterloo Local,Portage,Tax Levy - Avoiding an operating deficit,Failed,728,797,5,1780010,8.3,0.477377049,Renew/Increase
5/1/2023,Waynesfield-Goshen Local,Auglaize,Tax Levy - Permanent improvements,Passed,123,36,5,0,4.9,0.773584906,Renewal
5/1/2023,West Holmes Local,Holmes,Tax Levy - General permanent improvements,Passed,452,428,5,0,2.5,0.513636364,Renewal
5/1/2023,Willoughby-Eastlake City,Lake,Tax Levy - Avoiding an operating deficit,Passed,4544,2470,10,13560000,6.91,0.647847163,Renewal
5/1/2023,Wilmington City,Clinton,Income Tax - Current expenses & general ongoing permanent improvements,Failed,1679,1925,5,0,0.0075,0.465871254,Additional
5/1/2023,Winton Woods City,Hamilton,Tax Levy - Emergency requirements,Failed,649,2121,5,3500000,6.21,0.234296029,Additional
5/1/2023,Woodridge Local,Summit,Tax Levy - Emergency requirements,Passed,1505,801,10,4000000,6.73,0.652645273,Renewal
5/1/2023,Wooster,Wayne,"Bond - Construct, furnish, and equip a new elementary school and middle school; Renovate and improve other district buildings & facilities",Failed,687,2545,36,102086000,N/A,0.212561881,N/A
5/1/2023,Xenia Community,Greene,Income Tax - Current expenses,Passed,2127,1594,7,0,0.005,0.571620532,Renewal
