obs_id,month,year,district,IRN,leaid,county,purpose,for,against,mills_pct,years,amount,new,type
2886,5,2009,Jonathan Alder Local School District,46508,3904414,MADISON,to provide improvements & re11ations to school facilities including fire safety sanitary sewage sound proofing heating systems & roof & window reconstruction; to provide fixed equipment & site improvements for school facilities,646,397,2.4,100,,renewal,levy
2887,5,2009,Poland Local School District,48678,3904743,MAHONING,to provide for the emergency requirements of the school district,717,374,2.8,5,,renewal,levy
2888,5,2009,South Range Local School District,48702,3904743,MAHONING,to avoid an operating deficit,689,596,4.5,10,,renewal,levy
2889,5,2009,Western Reserve Local School District,48926,3904743,MAHONING,to avoid an operating deficit,306,321,4.6,10,,renewal,levy
2890,5,2009,Pleasant Local School District,48942,3904743,3ION,to provide for the emergency requirements of the school district,585,1473,9.5,10,,additional,levy
2891,5,2009,Brunswick City School District,49098,3904743,MEDINA,to provide for the emergency requirements of the school district,5104,2686,3.1,7,,renewal,levy
2892,5,2009,Parkway Local School District,49197,3904743,MERCER,for improvements re11ations & additions to school facilities & to acquire land & equipment,358,215,1.5,5,,renewal,levy
2893,5,2009,St. Henry Consolidated Local School District,49247,3904548,MERCER,to provide for the emergency requirements of the school district,770,255,8.5,5,,renewal,levy
2894,5,2009,Tipp City Exempted Village School District,49478,3904548,MIAMI,to provide for the emergency requirements of the school district,2260,1820,2.61,3,,additional,levy
2895,5,2009,Tipp City Exempted Village School District,49577,3904548,MIAMI,to provide for the emergency requirements of the school district,2778,1310,7.11,3,,renewal,levy
2896,5,2009,Troy City School District,49833,3904517,MIAMI,for general permanent improvements,1209,1090,1.1,5,,renewal,levy
2897,5,2009,Switzerland of Ohio Local School District,49973,3904517,MONROE,to maintain the classroom facilities included in the project,3832,2646,0.5,23,,additional,levy
2898,5,2009,Brookville Local School District,50138,3904517,MONTGOMERY,to provide for the emergency requirements of the school district,1120,524,0.27,5,,renewal,levy
2899,5,2009,Brookville Local School District,50161,3904517,MONTGOMERY,for permanent improvements,1112,495,0.8,5,,renewal,levy
2900,5,2009,Centerville City School District,50187,3904517,MONTGOMERY,for current expenses,6872,6229,5.9,100,,additional,levy
2901,5,2009,Kettering City School District,50252,3904517,MONTGOMERY,for current expenses,6012,1817,6.9,5,,renewal,levy
2902,5,2009,Northmont City School District,50419,3904517,MONTGOMERY,for current operating expenses,3509,1442,5,100,,renewal,levy
2903,5,2009,West Muskingum Local School District,50518,3904517,MUSKINGUM,to provide for the emergency requirements of the school district,1905,2007,7.9,5,,additional,levy
2904,5,2009,Zanesville City School District,50534,3904517,MUSKINGUM,to provide for the emergency requirements of the school district,1512,1464,3.42,5,,renewal,levy
2905,5,2009,Genoa Area Local School District,50567,3904517,OTTAWA,for permanent improvements including but not limited to rehabilitating & improving school buildings & school heating facilities providing furniture furnishings & equipment for school purposes & improving school sites,439,273,1.8,5,,renewal,levy
2906,5,2009,Port Clinton City School District,50591,3904517,OTTAWA,for current expenses,822,263,2.3,5,,renewal,levy
2907,5,2009,Aurora City School District,50658,3904517,PORTAGE,for general permanent improvements,1167,679,1.5,5,,renewal,levy
2908,5,2009,Tri-County North Local School District,50708,3904517,PREBLE,to provide for the emergency requirements of the school district,449,365,2.8,10,,additional,levy
2909,5,2009,Twin Valley Community Local School District,46094,3904414,PREBLE,to maintain classroom facilities constructed with proceeds of the previously issued bonds,485,660,0.5,23,,existing,levy
2910,5,2009,Lexington Local School District,45393,3904504,RICHLAND,to avoid an operating deficit,2471,732,7.7,5,,renewal,levy
2911,5,2009,Ontario Local School District,44289,3904368,RICHLAND,to provide for the necessary requirements of the school district,1302,1231,5.8,100,,substitute,levy
2912,5,2009,Gibsonburg Exempted Village School District,48272,3904743,SANDUSKY,for permanent improvements,377,118,1,5,,renewal,levy
2913,5,2009,Green Local School District,43513,3904349,SCIOTO,to avoid an operating deficit,165,448,7.9,5,,additional,levy
2914,5,2009,Fostoria City School District,43539,3904349,SENECA,to provide for the emergency requirements of the school district,934,907,7.55,5,,renewal,levy
2915,5,2009,Tiffin City School District,43679,3904365,SENECA,to provide for the emergency requirements of the school district,2072,853,4.43,5,,renewal,levy
2916,5,2009,Botkins Local School District,44057,3904365,SHELBY,for permanent improvements,278,171,2,5,,replacement,levy
2917,5,2009,Russia Local School District,44958,3901572,SHELBY,to maintain the classroom facilities included in the project,204,355,0.5,23,,additional,levy
2918,5,2009,Sidney City School District,45153,3904504,SHELBY,to avoid an operating deficit,2495,2823,9.9,5,,additional,levy
2919,5,2009,Alliance City School District,45328,3904504,STARK,to provide for the emergency requirements of the school district,1418,525,7.2,10,,renewal,levy
2920,5,2009,Fairless Local School District,45617,3904436,STARK,to provide of the emergency requirements of the school district,931,1886,9.5,5,,additional,levy
2921,5,2009,Northwest Local School District,45872,3904436,STARK,to provide for the emergency requirements of the school district,2401,2702,12.9,10,,additional,levy
2922,5,2009,Plain Local School District,46680,3904414,STARK,for current expenses,7417,7064,6.9,100,,additional,levy
2923,5,2009,Green Local School District,46755,3904414,SUMMIT,to provide for the emergency requirements of the school district,1685,2814,5.97,5,,additional,levy
2924,5,2009,Manchester Local School District,45476,3904504,SUMMIT,to acquire construct enlarge re11ate & finance general permanent improvements,979,1260,0.5,100,,additional,levy
2925,5,2009,Manchester Local School District,46979,3904414,SUMMIT,for current expenses,1349,889,6.9,5,,renewal,levy
2926,5,2009,Tallmadge City School District,47092,3904414,SUMMIT,to provide of the emergency requirements of the school district,2708,2878,6.9,5,,additional,levy
2927,5,2009,Woodridge Local School District,47183,3904414,SUMMIT,to provide for the emergency requirements of the school district,1496,590,10.01,5,,renewal,levy
2928,5,2009,Bristol Local School District,47688,3904743,TRUMBULL,to provide for the emergency requirements of the school district,157,201,4.7,5,,renewal,levy
2929,5,2009,Liberty Local School District,48025,3904743,TRUMBULL,to provide for the emergency requirements of the school district,446,2226,9.9,10,,additional,levy
2930,5,2009,Maplewood Local School District,48611,3904743,TRUMBULL,to re11ate remodel & otherwise improve school district buildings & furnish & equip school buildings,280,212,5,5,,renewal,levy
2931,5,2009,Newton Falls Exempted Village School District,48611,3904743,TRUMBULL,to provide for the emergency requirements of the school district,469,907,4,5,,additional,levy
2932,5,2009,Southington Local School District,48728,3904743,TRUMBULL,to provide for the emergency requirements of the school district,522,674,5,6,,additional,levy
2933,5,2009,Weathersfield Local School District,49411,3904548,TRUMBULL,to acquire construct enlarge re11ate & finance general permanent improvements,541,686,1.6,100,,additional,levy
2934,5,2009,Claymont City School District,49809,3904517,TUSCARAWAS,to provide for the emergency requirements of the school district,647,275,3.1,5,,renewal,levy
2935,5,2009,Garaway Local School District,49874,3904517,TUSCARAWAS,for the emergency requirements of the school district,660,168,7.3,10,,renewal,levy
2936,5,2009,New Philadelphia City School District,49916,3904517,TUSCARAWAS,for current expenses,939,528,5.9,5,,renewal,levy
2937,5,2009,Newcomerstown Exempt Village School District,49973,3904517,TUSCARAWAS,to provide for the emergency requirements of the school district,411,238,7.7,5,,renewal,levy
2938,5,2009,Tuscarawas Valley Local School District,49999,3904517,TUSCARAWAS,to acquire construct enlarge re11ate & finance general permanent improvements,724,1279,0.5,100,,additional,levy
2939,5,2009,Little Miami Local School District,50542,3904517,WARREN,to avoid an operating deficit,3891,5276,9.95,3,,additional,levy
2940,5,2009,Springboro Community City School District,50625,3904517,WARREN,to avoid an operating deficit,4541,4652,4.11,3,,additional,levy
2941,5,2009,Warren Local School District,139303,3904517,WASHINGTON,to provide for the emergency requirements of the school district,1389,696,6.29,5,,renewal,levy
2942,5,2009,Green Local School District,43646,3904349,WAYNE,to provide for the necessary requirements of the school district,403,603,4,100,,substitute,levy
2943,5,2009,Northwestern Local School District,46508,3904414,WAYNE,for general permanent improvements,286,117,2.8,5,,renewal,levy
2944,5,2009,Rittman Exempted Village School District,48488,3904743,WAYNE,for general permanent improvements,382,201,3.5,5,,renewal,levy
2945,5,2009,Northwood Local School District,45393,3904504,WOOD,for general permanent improvements,225,208,1.75,100,,additional,levy
2946,5,2009,Otsego Local School District,50245,3904517,WOOD,to provide for the emergency requirements of the school district,738,1591,5,5,,additional,levy
2947,5,2009,Carey Exempted Village School District,44289,3904368,WYANDOT,to maintain the classroom facilities included in the project,522,1033,0.5,23,,additional,levy
2948,8,2009,Leetonia Exempted Village School District,43489,#N/A,COLUMBIANA,to avoid an operating deficit,599,751,8.8,10,,additional,levy
2949,8,2009,Margaretta Local School District,43505,3904349,ERIE,to provide for the emergency requirements of the school district,1130,1548,8.37,5,,additional,levy
2950,8,2009,South-Western City School District,43513,3904349,FRANKLIN,for current operating expenses,16250,16657,8.3,4,,additional,levy
2951,8,2009,Pike-Delta-York Local School District,43521,3904349,FULTON,to provide for the emergency requirements of the school district,479,1202,6,5,,additional,levy
2952,8,2009,Sugarcreek Local School District,43539,3904349,GREENE,for current operating expenses,1551,1410,5.5,100,,replacement,levy
2953,8,2009,Mt. Healthy City School District,43547,3904349,HAMILTON,to provide for the emergency requirements of the school district,913,995,1.39,5,,renewal,levy
2954,8,2009,Winton Woods City School District,43570,3904349,HAMILTON,for current operating expenses,2202,2284,7.95,100,,additional,levy
2955,8,2009,Monroeville Local School District,43596,3904349,HURON,to provide for the emergency requirements of the school district,457,168,3.6,5,,renewal,levy
2956,8,2009,Buckeye Local School District,43638,3904349,JEFFERSON,to acquire construct enlarge re11ate & finance permanent improvements,880,2287,1.5,100,,additional,levy
2957,8,2009,Madison Local School District,43653,3904365,LAKE,to provide for the emergency requirements of the school district,865,495,1.68,5,,renewal,levy
2958,8,2009,Oregon City School District,43695,3904365,LUCAS,to provide for the emergency requirements of the school district,1131,3629,5.95,10,,additional,levy
2959,8,2009,Field Local School District,43729,3904365,PORTAGE,for current operating expenses,1404,779,7.3,5,,renewal,levy
2960,8,2009,Woodmore Local School District,43737,3904365,SANDUSKY,to provide for the emergency requirements of the school district,371,365,5.9,5,,additional,levy
2961,8,2009,Russia Local School District,43828,3904365,SHELBY,to pay the cost of maintaining the classroom facilities included in the project,372,185,0.5,23,,additional,levy
2962,8,2009,Sidney City School District,43893,3904365,SHELBY,to avoid an operating deficit,3326,3413,9.9,5,,additional,levy
2963,8,2009,Bristol Local School District,43893,3904365,TRUMBULL,to provide for the emergency requirements of the school district,375,334,4.7,5,,renewal,levy
2964,8,2009,Southington Local School District,43943,3904365,TRUMBULL,to provide for the emergency requirements of the school district,416,611,5,6,,additional,levy
2965,11,2009,Delphos City School District,43950,3904365,ALLEN,for current expenses,1449,1554,1.46,5,,additional,levy
2966,11,2009,Lima City School District,43968,3904365,ALLEN,to provide for the emergency requirements of the school district,4014,2818,5.34,5,,renewal,levy
2967,11,2009,Ashland Co. West Holmes Joint Vocational School District,43976,3904365,ASHLAND,for current expenses,11601,8323,1,3,,renewal,levy
2968,11,2009,Hillsdale Local School District,44016,3904365,ASHLAND,for current expenses,1419,980,4.8,2,,renewal,levy
2969,11,2009,Ashtabula County Joint Vocational School District,44024,3904365,ASHTABULA,for general permanent improvements,16300,11373,0.3,100,,replacement,levy
2970,11,2009,Conneaut Area City School District,44222,3904368,ASHTABULA,for general permanent improvements,2862,1447,1.5,5,,renewal,levy
2971,11,2009,Grand Valley Local School District,44297,3904368,ASHTABULA,to re11ate remodel construct improve furnish & equip buildings & facilities for school purposes & improve their sites,1117,1216,1.55,5,,renewal,levy
2972,11,2009,Bridgeport Exempted Village School District,44305,3904368,BELMONT,for current expenses,785,870,4,100,,replacement,levy
2973,11,2009,Shadyside Local School District,48850,3904743,BELMONT,to provide for the emergency requirements of the school district,914,1133,5.4,3,,renewal,levy
2974,11,2009,Monroe Local School District,44388,3904368,BUTLER,to provide the necessary requirements of the school district,2594,1067,9.71,100,,substitute,levy
2975,11,2009,Brown Local School District,44396,3904368,CARROLL,to avoid an operating deficit,1075,783,5.62,5,,renewal,levy
2976,11,2009,Mechanicsburg Exempted Village School District,44420,3904368,CHAMPAIGN,to provide for the emergency requirements of the school district,794,707,2.3,5,,renewal,levy
2977,11,2009,Southeastern Local School District,44438,3904368,CLARK,to improve re11ate remodel equip & furnish existing buildings & facilities & to equip & improve school sites,959,622,3,5,,renewal,levy
2978,11,2009,Springfield City School District,44479,3904368,CLARK,for current expenses,6831,4033,7,5,,renewal,levy
2979,11,2009,Tecumseh Local School District,44487,3904368,CLARK,to improve re11ate & additions to school facilities & to provide equipment furnishings & site improvements,3258,1906,4,5,,renewal,levy
2980,11,2009,Tecumseh Local School District,44537,3904368,CLARK,to provide for the emergency requirements of the school district,3296,1863,4.417,5,,renewal,levy
2981,11,2009,Tecumseh Local School District,44545,3904368,CLARK,to provide for the emergency requirements of the school district,3369,1793,2.656,5,,renewal,levy
2982,11,2009,Batavia Local School District,44552,3904368,CLERMONT,to maintain the classroom facilities included in the project,1379,1528,0.5,23,,additional,levy
2983,11,2009,Bethel-Tate Local School District,44560,3904368,CLERMONT,to provide for the emergency requirements of the school district,1221,1851,4.34,5,,additional,levy
2984,11,2009,East Clinton Local School District,44594,3901572,CLINTON,for general permanent improvements,1565,734,3,5,,renewal,levy
2985,11,2009,East Liverpool City School District,44594,3901572,COLUMBIANA,to provide for the emergency requirements of the school district,2038,1178,6.5,5,,renewal,levy
2986,11,2009,Leetonia Exempted Village School District,44610,3901572,COLUMBIANA,to avoid an operating deficit,781,984,8.8,10,,renewal,levy
2987,11,2009,Southern Local School District,44628,3901572,COLUMBIANA,for current expenses,1080,751,7.84,5,,renewal,levy
2988,11,2009,River View Local School District,44651,3901572,COSHOCTON,for general improvements including but not limited to re11ation repair or improvements of existing facilities the purchase of school buses & the purchase installation of computers & other technology,3030,1801,1.8,5,,renewal,levy
2989,11,2009,Brecksville-Broadview Heights City School District,44693,3901572,CUYAHOGA,for current expenses,4873,6508,5.5,5,,additional,levy
2990,11,2009,Garfield Heights City School District,44701,3901572,CUYAHOGA,to provide for the emergency requirements of the school district,2648,5237,7.5,5,,additional,levy
2991,11,2009,Olmsted Falls City School District,44743,3901572,CUYAHOGA,for current expenses,4499,4675,6.4,100,,additional,levy
2992,11,2009,Parma City School District,44776,3901572,CUYAHOGA,to provide for the emergency requirements of the school district,17148,23102,5.5,10,,additional,levy
2993,11,2009,Richmond Heights Local School District,44792,3901572,CUYAHOGA,for current expenses,1775,1595,4,100,,additional,levy
2994,11,2009,Franklin Monroe Local School District,44834,3901572,DARKE,for permanent improvements of the school district,694,362,1,5,,renewal,levy
2995,11,2009,Ayersville Local School District,44842,3901572,DEFIANCE,for general permanent improvements,831,769,2,5,,renewal,levy
2996,11,2009,Big Walnut Local School District,44883,3901572,DELAWARE,to provide for the emergency requirements of the school district,3724,3765,6.7,5,,additional,levy
2997,11,2009,Huron City School District,44891,3901572,ERIE,to provide of the emergency requirements of the school district,2225,1680,8.1,10,,renewal,levy
2998,11,2009,Margaretta Local School District,44909,3901572,ERIE,to provide of the emergency requirements of the school district,1497,1789,4.9,5,,additional,levy
2999,11,2009,Sandusky City School District,44933,3901572,ERIE,for general permanent improvements,3426,3292,2,100,,replacement,levy
3000,11,2009,Vermilion Local School District,44941,3901572,ERIE,to provide of the emergency requirements of the school district,1928,3470,4.84,5,,additional,levy
3001,11,2009,Walnut Township Local School District,44958,3901572,FAIRFIELD,to provide for the emergency requirements of the school district,961,683,2.1,5,,renewal,levy
3002,11,2009,Reynoldsburg City School District,45054,3904504,FRANKLIN,for current operating expenses,5524,5921,9.9,100,,additional,levy
3003,11,2009,South-Western City School District,45096,3904504,FRANKLIN,for current operating expenses,20070,19413,7.4,100,,additional,levy
3004,11,2009,Westerville City School District,45104,3904504,FRANKLIN,for current operating expenses,14685,12839,11.4,100,,replacement,levy
3005,11,2009,Worthington City School District,45138,3904504,FRANKLIN,,11714,8101, Fix,,,replacement,levy
3006,11,2009,West Ge8a Local School District,45138,3904504,GE8A,to provide for the emergency requirements of the school district,3834,2964,3.53,5,,renewal,levy
3007,11,2009,Beavercreek City School District,45153,3904504,GREENE,to construct improvements re11ations & additions to school facilities to school facilities & provide equipment furnishings & site improvements therefor,10653,6569,1,5,,renewal,levy
3008,11,2009,Xenia Community City School District,45161,3904504,GREENE,to acquire construct enlarge re11ate & finance permanent improvements,5942,5612,0.5,100,,additional,levy
3009,11,2009,Cincinnati City School District,45195,3904504,HAMILTON,to provide for the emergency requirements of the school district,50293,32583,9.11,5,,renewal,levy
3010,11,2009,Mt. Healthy City School District,#N/A,#N/A,HAMILTON,to provide for the emergency requirements of the school district,4000,2936,1.39,5,,replacement,levy
3011,11,2009,Reading Community City School District,45500,3904504,HAMILTON,to avoid an operating deficit,2441,1600,5.71,3,,additional,levy
3012,11,2009,Winton Woods City School District,45518,3904504,HAMILTON,to provide for the emergency requirements of the school district,5732,3916,7.9,10,,additional,levy
3013,11,2009,Cory-Rawson Local School District,45583,3904436,HANCOCK,to acquire construct enlarge re11ate & finance permanent improvements,963,686,0.5,100,,additional,levy
3014,11,2009,Riverdale Local School District,45773,3904436,HARDIN,for current expenses,1250,734,6.9,5,,renewal,levy
3015,11,2009,Conotton Valley Union Local School District,45799,3904436,HARRISON,for permanent improvements,604,534,2,5,,replacement,levy
3016,11,2009,Conotton Valley Union Local School District,45807,3904436,HARRISON,to avoid an operating deficit,675,460,8.3,5,,renewal,levy
3017,11,2009,Harrison Hills City School District,45823,3904436,HARRISON,for permanent improvements,2561,2052,3,5,,renewal,levy
3018,11,2009,Patrick Henry Local School District,45864,3904436,HENRY,for permanent improvements,1078,769,1.9,5,,renewal,levy
