obs_id,month,year,district,IRN,leaid,county,purpose,for,against,mills_pct,years,amount,new,type
30,3,2012,Rocky River City,44701,3904470,Cuyahoga,Operating Expenses,3435,3543,5.9,C,,New,levy
31,3,2012,South-Western City,44800,3904480,Franklin,Permanent Improvements,13704,8328,2.9,38,148000000,New,levy
32,3,2012,Strongsville City,44842,3904484,Cuyahoga,Operating Expenses,7332,6493,6,5,,Renewal,levy
33,3,2012,Tiffin City,44891,3904489,Seneca,Current Expenses,2798,2524,4.9,C,,New,levy
34,3,2012,Warren City,44990,3904499,Trumbull,Emergency Operating,2793,2022,4.3,5,,Renewal,levy
35,3,2012,Westerville City,45047,3904504,Franklin,Emergency Operating,15544,14800,6.71,5,,Renewal,levy
36,3,2012,Willoughby-Eastlake City,45104,3904510,Lake,Emergency Operating,9190,7422,4.99,10,,New,levy
37,3,2012,Wyoming City,45146,3904514,Hamilton,Permanent Improvements,2114,778,4.79,37,25037114,New,levy
38,3,2012,Ada Exempted Village,45187,3904518,Hardin,Income Tax,760,584,0.75,5,,Renewal,income tax
39,3,2012,Chagrin Falls Ex Village,45286,3904528,Cuyahoga,Operating Expenses,2092,1809,7.9,C,,New,levy
40,3,2012,Coldwater Exempted Village,45310,3904531,Mercer,Operating,1079,733,4.1,5,,New,levy
41,3,2012,Crestline Exempted Village,45344,3910008,Crawford,Operating,455,418,9.06,5,,Renewal,levy
42,3,2012,Montpelier Exempted Village,45526,3904552,Williams,Income Tax,1007,760,0.75,C,,Renewal,income tax
43,3,2012,Rossford Exempted Village,45609,3904560,Wood,Current Expenses,1851,923,7.9,5,,Renewal,levy
44,3,2012,Rossford Exempted Village,45609,3904560,Wood,Current Expenses,1715,1042,7.9,5,,Renewal,levy
45,3,2012,Versailles Exempted Village,45633,3904563,Darke,Income Tax,1477,714,1,4,,New,income tax
46,3,2012,Allen East Local,45757,3904575,Allen,Emergency Operating,780,592,2.92,5,,Renewal,levy
47,3,2012,Bath Local,45765,3904576,Allen,Permanent Improvements ,1689,1484,5.34,37,25100000,New,levy
48,3,2012,Grand Valley Local,45864,3904586,Ashtabula,Emergency Operating,906,1077,4.9,5,,New,levy
49,3,2012,Jefferson Area Local,45872,3904587,Ashtabula,Permanent Improvements,1222,1009,1,5,,Renewal,levy
50,3,2012,Jefferson Area Local,45872,3904587,Ashtabula,Permanent Improvements,1144,1085,1.5,5,,Renewal,levy
51,3,2012,New Bremen Local,45955,3904595,8laize,Bond Issue and Tax Levy,610,984,7.3,33,13000000,New,combo
52,3,2012,Beaver Local,46425,3904642,Columbiana,Bond Issue and Tax Levy,2193,1861,5.223,28,21500000,New,combo
53,3,2012,Wynford Local,46524,3904652,Crawford,Operating,1190,771,2.4,3,,Renewal,levy
54,3,2012,Wynford Local,46524,3904652,Crawford,Operating Expenses,1186,768,6.9,3,,Renewal,levy
55,3,2012,Cuyahoga Heights Local,46557,3904655,Cuyahoga,Operating Expenses,1007,977,7.9,C,,New,levy
56,3,2012,Tri-Village Local,46680,3904668,Darke,Permanent Improvements,519,651,2.5,C,,New,levy
57,3,2012,Ayersville Local,46706,3904670,Defiance,Income Tax,738,648,1,5,,Renewal,income tax
58,3,2012,Central Local ,46714,3904671,Defiance,Bond Issue and Income Tax,895,1270,,,,New,combo
59,3,2012,Central Local ,46714,3904671,Defiance,Emergency Operating,1117,927,5.75,5,,Renewal,levy
60,3,2012,Miami Trace Local,46920,3910010,Fayette,Operating,1699,1424,5.8,5,,Renewal,levy
61,3,2012,Evergreen Local,47050,3904705,Fulton,Income Tax,1204,1186,0.5,5,,New,income tax
62,3,2012,Swanton Local,47092,3904709,Fulton,Emergency Operating,937,1094,4.22,5,,Renewal,levy
63,3,2012,West Ge8a Local,47225,3904722,Ge8a,Emergency Operating,3171,2181,5.6,5,,Renewal,levy
64,3,2012,Beavercreek City,47241,3904724,Greene,Emergency Operating,8756,9616,6.7,5,,New,levy
65,3,2012,Forest Hills Local,47340,3904734,Hamilton,Current Expenses,9891,6973,3.9,C,,New,levy
66,3,2012,Arcadia Local,47415,3910002,Hancock,Operating Expenses,517,330,3.71,3,,Renewal,levy
67,3,2012,Arcadia Local,47415,3910002,Hancock,Operating Expenses,509,355,5.4,4,,Renewal,levy
68,3,2012,Van Buren Local,47464,3910001,Hancock,Emergency Operating,955,621,4.4,4,,Renewal,levy
69,3,2012,Ridgemont Local,47506,3904750,Hardin,Bond Issue and Tax Levy,649,478,5.07,38,6975000,New,combo
70,3,2012,Patrick Henry Local,47597,3904759,Henry,Emergency Operating,1223,858,5.5,3,,New,levy
71,3,2012,Fairfield Local,47621,3904762,Highland,Permanent Improvements,630,369,4.5,4,,Renewal,levy
72,3,2012,East Holmes Local,47688,3904768,Holmes,Permanent Improvements,1468,950,1,5,,Renewal,levy
73,3,2012,East Holmes Local,47688,3904768,Holmes,Emergency Operating,1192,1226,3.77,5,,New,levy
74,3,2012,Indian Creek Local,47803,3904780,Jefferson,Bond Issue and Tax Levy,2910,3442,3.5,37,22000000,New,combo
75,3,2012,Avon Local,48116,3904811,Lorain, Permanent Improvements,2844,2980,2.25,32,32000000,New,levy
76,3,2012,Avon Local,48116,3904811,Lorain,Emergency Operating,3359,2489,3.21,10,,Renewal,levy
77,3,2012,Midview Local,48173,3904817,Lorain,Emergency Operating,2748,2014,3.39,10,,Renewal,levy
78,3,2012,Poland Local,48348,3904834,Mahoning,Permanent Improvements,3130,1982,1,5,,Renewal,levy
79,3,2012,Poland Local,48348,3904834,Mahoning,Emergency Operating,2184,2909,3.8,5,,New,levy
80,3,2012,Buckeye Local,48470,3904847,Medina,Income Tax,1827,2508,1,10,,New,income tax
81,3,2012,Brookville Local,48678,3904867,Montgomery,Operating Expenses,1591,719,5,5,,Renewal,levy
82,3,2012,Mad River Local,48702,3904870,Montgomery,Current Expenses,2028,1760,5.9,C,,New,levy
83,3,2012,Benton Carroll Salem Local,48926,3904892,Ottawa,Current Expenses,1866,912,4.33,5,,Renewal,levy
84,3,2012,Genoa Area Local,48942,3904894,Ottawa,Replacement and IncreasePermanent Improvements,998,984,1.35,5,,New,levy
85,3,2012,Teays Valley Local,49098,3904909,Pickaway,Income Tax,3040,2561,0.75,C,,Renewal,income tax
86,3,2012,Field Local,49197,3904919,Portage,Current Expenses,1636,3165,7,C,,New,levy
87,3,2012,Waterloo Local,49247,3904924,Portage,Current Expenses,944,1439,7.95,C,,New,levy
88,3,2012,Ontario Local,49478,3904947,Richland,Operating,1759,1512,4.4,5,,Renewal,levy
89,3,2012,Woodmore Local,49577,3904957,Sandusky,Bond Issue and Tax Levy,1419,1102,5.43,37,15409840,New,combo
90,3,2012,Canton Local,49833,3904983,Stark,Permanent Improvements,1414,2080,8.3,30,43000000,New,levy
91,3,2012,Woodridge Local,49973,3904997,Summit,Emergency Operating,2109,2340,6.83,5,,New,levy
92,3,2012,Champion Local,50138,3905013,Trumbull,Emergency Operating,1434,712,10.75,5,,Renewal,levy
93,3,2012,Howland Local,50161,3905016,Trumbull,Emergency Operating,1985,3305,4.9,5,,New,levy
94,3,2012,Lakeview Local,50187,3905018,Trumbull,Emergency Operating,1790,1334,2.15,5,,Renewal,levy
95,3,2012,Weathersfield Local,50252,3905025,Trumbull,Bond Issue and Tax Levy,903,701,6.6,30,9056940,New,combo
96,3,2012,Carlisle Local,50419,3905041,Warren,Bond Issue and Income Tax,1109,1712,,,,New,combo
97,3,2012,Wolf Creek Local,50518,3905051,Washington,Emergency Improvements,518,284,5.76,5,,Renewal,levy
98,3,2012,Chippewa Local,50534,3905053,Wayne,Income Tax,1350,1160,1,5,,Renewal,income tax
99,3,2012,Norwayne Local,50567,3905056,Wayne,Emergency Improvements,1039,522,1.85,10,,Renewal,levy
100,3,2012,Triway Local,50591,3905059,Wayne,Income Tax,2415,1741,0.75,4,,New,income tax
101,3,2012,Stryker Local,50658,3905065,Williams,Emergency Improvements,553,503,5.8,5,,New,levy
102,3,2012,North Baltimore Local,50708,3905070,Wood,Income Tax,414,361,1,4,,Renewal,income tax
103,3,2012,Edison Local,47795,3904779,Jefferson,Current Expenses,2203,2669,9.45,C,,New,levy
104,3,2012,Green Local,49619,3904961,Scioto,Emergency Operating,673,690,7,5,,New,levy
105,3,2012,Madison Local,49452,3904945,Richland,Current Expenses,2612,1791,6.9,5,,Renewal,levy
106,3,2012,Manchester Local,50005,3905000,Summit,Permanent Improvements,1263,683,1,C,,Renewal,levy
107,8,2012,Ashtabula Area City,43513,3904351,Ashtabula,Emergency Operating,1604,2191,6.4,5,,New,levy
108,8,2012,Barberton City,43539,3904353,Summit,Emergency Operating,1531,2035,8.52,5,,New,levy
109,8,2012,Bryan City,43679,3904367,Williams,Bond Issue (OSFC Building Assistance),1010,1755,3.9,28,18019635,New,bond
110,8,2012,Geneva Area City,44057,3904405,Ashtabula,Emergency Operating,1224,1868,4.9,10,,New,levy
111,8,2012,Vandalia-Butler City,44958,3904495,Montgomery,Operating Expenses & Permanent Improvements,2518,3178,6.99,C,,New,levy
112,8,2012,Xenia Community,45153,3904515,Greene,Replacement and Increase Operating Expenses,1486,4170,1.5,7,,New,levy
113,8,2012,Columbiana Exempted Village,45328,3904532,Columbiana,Bond Issue,442,963,1.237,29,4000000,New,bond
114,8,2012,Tipp City Exempted Village,45617,3904561,Miami,Emergency Operating,1372,2365,7.95,5,,New,levy
115,8,2012,Jefferson Area Local,45872,3904587,Ashtabula,Emergency Operating,534,2305,11.9,10,,New,levy
116,8,2012,Tri-Village Local,46680,3904668,Darke,Permanent Improvements,288,562,2.5,C,,New,levy
117,8,2012,Buckeye Valley Local,46755,3904675,Delaware,Income Tax (Operating) and Bond Issue ,950,2450,0.25,5,30000000,New,income tax
118,8,2012,Margaretta Local,46805,3904680,Erie,Permanent Improvements,612,523,1.5,5,,Renewal,levy
119,8,2012,Groveport Madison Local,46979,3904697,Franklin,Operating Expenses,2066,856,9.96,C,7707115,New,levy
120,8,2012,Swanton Local,47092,3904709,Fulton,Emergency Operating,838,709,4.45,5,,Renewal,levy
121,8,2012,Chardon Local,47183,3904718,Ge8a,Operating Expenses,1889,2845,5.95,C,,New,levy
122,8,2012,East Holmes Local,47688,3904768,Holmes,Emergency Operating,761,1352,3.77,5,,New,levy
123,8,2012,North Fork Local,48025,3904802,Licking,Income Tax (Operating),558,1425,1,C,,Renewal,income tax
124,8,2012,Bethel Local,48611,3904861,Miami,Permanent Improvements,613,465,2,5,,Renewal,levy
125,8,2012,Bethel Local,48611,3904861,Miami,Replacement Operating Expenses,558,517,7,5,,New,levy
126,8,2012,Northmont City,48728,3904872,Montgomery,Operating Expenses,3042,1420,5.9,5,,Renewal,levy
127,8,2012,Clear Fork Valley Local,49411,3904941,Richland,Income Tax (Operating),1161,1065,1,5,,New,income tax
128,8,2012,Jackson Center Local,49809,3910005,Shelby,Income Tax (Operating),222,223,0.5,5,,New,income tax
129,8,2012,Louisville City,49874,3904987,Stark,Emergency Operating,1587,2398,5.9,5,,New,levy
130,8,2012,Osnaburg Local,49916,3904991,Stark,Income Tax (Operating),214,1302,1.25,C,,New,income tax
131,8,2012,Woodridge Local,49973,3904997,Summit,Emergency Operating,1625,1715,6.83,5,,New,levy
132,8,2012,Coventry Local,49999,3904999,Summit,Bond Issue and Tax Levy,1094,1248,4.89,34,28308500,New,combo
133,8,2012,Dalton Local,50542,3905054,Wayne,Permanent Improvements,348,274,2,5,,Renewal,levy
134,8,2012,Edon-Northwest Local,50625,3905062,Williams,Income Tax and Tax Levy,328,535,0.5,3,,New,income tax
135,8,2012,Monroe Local,139303,3900094,Butler,Emergency Operating,1044,1123,7.05,5,,New,levy
136,8,2012,Brecksville-Broadview Hts. ,43646,3904364,Cuyahoga,Permanent Improvements & Operating Expenses,3848,1360,1,3,,Renewal,levy
137,8,2012,Buckeye Local,48470,3904847,Medina,Emergency Operating,3224,1908,7.9,5,,New,levy
138,8,2012,Clyde-Green Springs Ex Village,45302,3910020,Sandusky,Emergency Operating,1122,1483,4.78,5,,New,levy
139,8,2012,Green Local,49619,3904961,Scioto,Emergency Operating,506,562,7,5,,New,levy
140,8,2012,Lake Local,50690,3905069,Wood,Operating Expenses,1501,1364,6.75,3,,New,levy
141,8,2012,Madison Local,47886,3904788,Lake,Operating Expenses,989,2590,4.9,10,,New,levy
142,11,2012,Akron City,43489,3904348,Summit,Current Expenses,40267,27450,7.9,C,,New,levy
143,11,2012,Ashland City,43505,3904350,Ashland,Bond Issue and Tax Levy for Permanent Improvements,6284,4920,3.2,37,27480895,New,combo
144,11,2012,Ashtabula Area City,43513,3904351,Ashtabula,Emergency Operating,4606,6173,6.4,5,,New,levy
145,11,2012,Athens City,43521,3904352,Athens,Emergency Operating with Increase,8073,4295,7.18,5,,Renewal,levy
146,11,2012,Barberton City,43539,3904353,Summit,Emergency Operating,4473,5384,8.52,5,,New,levy
147,11,2012,Bay Village City,43547,3904354,Cuyahoga,Permanent Improvements,5365,3519,1.96,25,16800000,New,levy
148,11,2012,Bellaire Local,43570,3904357,Belmont,Emergency Operating,1802,2419,8.72,5,,New,levy
149,11,2012,Bellevue City,43596,3904359,Huron,Emergency Operating,3061,2758,4.75,10,,Renewal,levy
150,11,2012,Bowling Green City,43638,3904363,Wood,Operating Expenses,6984,7664,0.75,5,,New,levy
151,11,2012,Brooklyn City,43653,3904365,Cuyahoga,Permanent Improvements,2800,1779,1,5,,Renewal,levy
152,11,2012,Cambridge City,43695,3904369,Guernsey,Emergency Operating,3788,2309,6.64,5,,Renewal,levy
153,11,2012,Celina City,43729,3910030,Mercer,Bond Issue (State of Ohio Classroom Facilities Assistance Program) & Levy Tax,2789,5806,3.8,33,27700000,New,combo
154,11,2012,Centerville City,43737,3904373,Montgomery,Current Expenses,16423,16771,5.9,C,,New,levy
155,11,2012,Coshocton City,43828,3904382,Coshocton,Capital Improvements,2814,1747,1.12,5,,Renewal,levy
156,11,2012,Dover City,43893,3904389,Tuscarawas,Emergency Operating,4603,3644,6.4,10,,Renewal,levy
157,11,2012,Dover City,43893,3904389,Tuscarawas,Emergency Operating,4404,3776,8.4,10,,Renewal,levy
158,11,2012,Elyria City,43943,3904394,Lorain,Emergency Operating,8886,10191,4.99,10,,New,levy
159,11,2012,Euclid City,43950,3904395,Cuyahoga,Emergency Operating,10346,10327,9,10,,New,levy
160,11,2012,Fairborn City,43968,3904396,Greene,Emergency Operating,5831,6936,7.4,10,,New,levy
161,11,2012,Fairview Park City,43976,3904397,Cuyahoga,Emergency Operating,5399,2837,7.9,5,,Renewal,levy
162,11,2012,Fremont City,44016,3904401,Sandusky,Current Expenses,7664,5914,1.25,5,,Renewal,levy
163,11,2012,Galion City,44024,3904402,Crawford,Current Expenses & On-going Permanent Improvements,1812,3779,8,5,,New,levy
164,11,2012,Lima City,44222,3904422,Allen,Permanent Improvements & Operating Expenses,5703,4659,5.99,5,,New,levy
165,11,2012,Mansfield City,44297,3904429,Richland,Emergency Operating,6292,6664,9.9,5,,Renewal,levy
166,11,2012,Maple Heights City,44305,3904430,Cuyahoga,Emergency Operating,5848,3934,22.5,5,,Renewal,levy
167,11,2012,Massillon City,44354,3904435,Stark,Emergency Operating,5845,5824,8.1,5,,New,levy
168,11,2012,Medina City,44388,3904438,Medina,Emergency Operating,10556,11519,3.9,10,,New,levy
169,11,2012,Miamisburg City,44396,3904439,Montgomery,Emergency Operating,10187,7630,8.21,5,,Renewal,levy
170,11,2012,Mount Vernon City,44420,3910012,Knox,Emergency Operating,6566,6861,4.72,5,,New,levy
171,11,2012,Napoleon Area City,44438,3904443,Henry,Operating Expenses,3042,3781,3.9,5,,New,levy
172,11,2012,New Lexington City,44479,3904447,Perry,Current Expenses,2350,1886,3,5,,Renewal,levy
173,11,2012,New Philadelphia City,44487,3904448,Tuscarawas,Permanent Improvements,6368,3487,0.8,5,,Renewal,levy
174,11,2012,North Ridgeville City,44537,3904453,Lorain,Emergency Operating,8201,6297,5.9,10,,New,levy
175,11,2012,North Royalton City,44545,3904454,Cuyahoga,Permanent Improvements,8011,8964,2.65,35,54300000,New,levy
176,11,2012,Norton City,44552,3904455,Summit,Current Expenses,3719,3244,1.9,C,,New,levy
177,11,2012,Norwalk City,44560,3904456,Huron,Emergency Operating,3406,4119,5.5,5,,New,levy
178,11,2012,Oberlin City,44594,3904459,Lorain,Current Expenses,3546,1718,0.75,5,,Renewal,levy
179,11,2012,Oberlin City,44594,3904459,Lorain,Education Technology,3687,1645,1.3,5,,Renewal,levy
180,11,2012,Orrville City,44610,3904461,Wayne,Income Tax & Property Tax,1772,2875,0.5,C,,New,income tax
181,11,2012,Painesville City Local,44628,3910015,Lake,Current Expenses,2541,2510,4,C,,New,levy
182,11,2012,Port Clinton City,44651,3904465,Ottawa,Emergency Operating,3811,3015,2.84,5,,Renewal,levy
183,11,2012,Reading Community City,44693,3904469,Hamilton,Operating Expenses,3534,1419,6.36,7,,Renewal,levy
184,11,2012,Rocky River City,44701,3904470,Cuyahoga,Current Expenses,6376,5221,4.9,C,,New,levy
185,11,2012,Sandusky City,44743,3904474,Erie,Current Expenses,6923,5188,4.9,C,,New,levy
186,11,2012,Shelby City,44776,3910009,Richland,Emergency Operating,2015,4133,7.5,5,,New,levy
187,11,2012,South Euclid-Lyndhurst City,44792,3904479,Cuyahoga,Current Expenses,9395,8082,5.9,C,,New,levy
188,11,2012,Stow-Munroe Falls City,44834,3904483,Summit,Emergency Operating,11765,8662,7.84,10,,Renewal,levy
189,11,2012,Strongsville City,44842,3904484,Cuyahoga,Permanent Improvements,11229,11226,2.9,33,81000000,New,levy
190,11,2012,Tallmadge City,44883,3904488,Summit,Permanent Improvements,3712,5867,3.51,35,27500000,New,levy
191,11,2012,Tiffin City,44891,3904489,Seneca,Permanent Improvements,5734,3520,1,5,,Renewal,levy
192,11,2012,Toledo City,44909,3904490,Lucas,Emergency Operating,41107,45351,4.9,10,,New,levy
193,11,2012,Upper Arlington City,44933,3904493,Franklin,Current Expenses,9578,11641,5.8,C,,New,levy
194,11,2012,Urbana City,44941,3904494,Champaign,Permanent Improvements,3144,4341,2,5,,New,levy
195,11,2012,Vandalia-Butler City,44958,3904495,Montgomery,Operating Expenses and Permanent Improvements,6059,7252,6.99,C,,New,levy
196,11,2012,West Carrollton City,45054,3904505,Montgomery,Operating Expenses,5596,5974,3.9,5,,New,levy
197,11,2012,Willard City,45096,3904509,Huron,Permanent Improvements,1720,2343,1,5,,Renewal,levy
198,11,2012,Willoughby-Eastlake City,45104,3904510,Lake,Emergency Operating,18417,12382,2.62,10,,Renewal,levy
199,11,2012,Worthington City,45138,3904513,Franklin,Permanent Improvements,18911,11460,1.86,16,40000000,New,levy
200,11,2012,Worthington City,45138,3904513,Franklin,Incremental Operating Levy,16335,14238,6.9,C,,New,income tax
201,11,2012,Xenia Community,45153,3904515,Greene,Emergency Operating,4636,8856,6.5,5,,New,levy
202,11,2012,Youngstown City,45161,3904516,Mahoning,Emergency Operating,15556,10277,10.4,4,,Renewal,levy
203,11,2012,Amherst Exempted Village,45195,3904519,Lorain,Current Expenses,6163,5673,4.9,5,,New,levy
204,11,2012,3ysville Exempted Village,45476,3904547,Union,Current Expenses,5634,7864,4,5,,New,levy
205,11,2012,Milford Exempted Village,45500,3904550,Clermont,Operating Expenses,10673,10972,4.5,C,,New,levy
206,11,2012,Milton-Union Exempted Village,45518,3904551,Miami,Current Expenses,2482,2496,10.9,5,,Renewal,levy
207,11,2012,Perrysburg Exempted Village,45583,3904558,Wood,Current Expense (Phase In),7908,7522,13.15,3,,New,levy
208,11,2012,Elida Local,45773,3904577,Allen,Current Expenses,3512,5275,0.75,5,,Renewal,levy
209,11,2012,Shawnee Local,45799,3904579,Allen,Permanent Improvements,5598,3430,2.45,5,,Renewal,levy
210,11,2012,Spencerville Local,45807,3904580,Allen,Current Expenses,1037,759,1,5,,Renewal,levy
211,11,2012,Hillsdale Local,45823,3904582,Ashland,Income Tax and Levy Tax,1481,1986,1.25,5,1147925,New,income tax
212,11,2012,Grand Valley Local,45864,3904586,Ashtabula,Emergency Operating ,1533,2014,4.9,5,,New,levy
213,11,2012,Jefferson Area Local,45872,3904587,Ashtabula,Operating Expenses,2616,2669,2,5,,Renewal,levy
214,11,2012,Jefferson Area Local,45872,3904587,Ashtabula,Operating Expenses,2448,2856,4.5,5,,Renewal,levy
215,11,2012,Trimble Local,45922,3904592,Athens,Permanent Improvements,816,925,5,C,,New,levy
216,11,2012,Western Brown Local,46060,3904606,Brown,Emergency Operating,2908,3851,5.9,6,,New,levy
217,11,2012,Brown Local,46177,3904617,Carroll,Bond Issue and Permanent Improvements with Increase,1213,1286,6.8,36,17152577,New,combo
218,11,2012,West Liberty-Salem Local,46219,3904621,Champaign,Bond Levy (OSFC) and Tax Levy (Permanent Improvements),859,760,7.05,27,14500000,New,combo
219,11,2012,Greenon Local,46235,3904623,Clark,"Permanent Improvements, Operating Expenses and Bond Issue (State of Ohio Classroom Facilities Assistant Program)",3000,3689,0.75,C,32000000,New,levy
220,11,2012,Tecumseh Local,46243,3904624,Clark,Emergency Operating,3574,4579,8.95,5,,New,levy
221,11,2012,Clark-Shawnee Local,46284,3904628,Clark,Emergency Operating with Increase,2402,1867,7.49,10,455647,Renewal,levy
222,11,2012,Batavia Local,46300,3904630,Clermont,2 Bonds Issues  & 2 Tax Levies,2508,2472,3.7,28,13642450,New,bond
223,11,2012,West Clermont Local,46359,3904635,Clermont,Emergency Operating,11819,17945,7.9,10,,New,levy
224,11,2012,Blanchester Local,46383,3904638,Clinton,Permanent Improvements,2312,1011,1,5,,Renewal,levy
225,11,2012,East Clinton Local,46409,3904640,Clinton,Income Tax,768,1239,1.25,,,New,income tax
226,11,2012,Richmond Heights Local,46599,3904659,Cuyahoga,Current Expenses,2385,2266,5.3,C,,New,levy
227,11,2012,Walnut Township Local,46904,3904690,Fairfield,Operating Expenses with Replacement,794,1300,1.75,10,,New,levy
228,11,2012,New Albany-Plain Local,46995,3904699,Franklin,Bond Issue (Exceptional Needs Program of the OSFC) and Operating Expenses with Addition,4554,4515,2.6,37,45120442,New,bond
229,11,2012,Dublin City,47027,3904702,Franklin,Bond Issue with Operating Expenses with Addition,21012,17617,0.54,13,15871610,New,combo
230,11,2012,Cardinal Local,47175,3904717,Ge8a,Current Expenses,2566,1877,9.7,5,,Renewal,levy
231,11,2012,Chardon Local,47183,3904718,Ge8a,Current Expenses,5692,6096,5.95,C,,New,levy
232,11,2012,Ledgemont Local,47209,3905067,Ge8a,Emergency Operating,2272,2263,3.4,5,,New,levy
233,11,2012,Newbury Local,47217,3904721,Ge8a,Permanent Improvements,1296,1692,3,5,,New,levy
234,11,2012,West Ge8a Local,47225,3904722,Ge8a,Permanent Improvements,4944,4894,2.75,5,,New,levy
235,11,2012,Beavercreek City,47241,3904724,Greene,Emergency Operating,14610,14778,6.7,5,,New,levy
236,11,2012,Cedar Cliff Local,47258,3904725,Greene,Permanent Improvements,1179,730,3,5,,New,levy
237,11,2012,Finneytown Local,47332,3904733,Hamilton,Permanent Improvements,3416,2689,1.98,15,4700000,New,levy
238,11,2012,West Holmes Local,47696,3904769,Holmes,Permanent Improvements,4058,2678,2.5,5,,Renewal,levy
239,11,2012,Monroeville Local,47712,3904771,Huron,Permanent Improvements,1071,933,2.6,34,4195000,New,levy
240,11,2012,Indian Creek Local,47803,3904780,Jefferson,Bond Issue (Exceptional Needs Program of the OSFC) and Tax Levy for Operating Expenses,4479,5204,3.5,37,22000000,New,bond
241,11,2012,Centerburg Local,47829,3904782,Knox,Permanent Improvements,1687,1024,1.5,C,,Renewal,levy
242,11,2012,East Knox Local,47845,3910013,Knox,Income Tax and Levy Tax,1803,2723,0.75,C,700000,New,income tax
243,11,2012,Kirtland Local,47878,3904787,Lake,Emergency Operating,2272,2263,6.72,5,,New,levy
244,11,2012,Johnstown-Monroe Local,47985,3904798,Licking,Operating Expenses,2515,2225,1,5,,Renewal,levy
245,11,2012,Licking Heights Local,48009,3904800,Licking,Emergency Operating,1693,2776,8.9,10,,New,levy
246,11,2012,North Fork Local,48025,3904802,Licking,Operating Expense,1742,2389,1,C,,Renewal,levy
247,11,2012,Indian Lake Local,48082,3904808,Logan,Emergency Operating,1951,3228,7.35,10,,New,levy
248,11,2012,Avon Local,48116,3904811,Lorain,Permanent Improvements,6221,4165,2.34,28,32000000,New,levy
249,11,2012,Avon Lake City,48124,3904812,Lorain,Emergency Operating,5815,6519,9.04,5,,New,levy
250,11,2012,Clearview Local,48132,3904813,Lorain,Emergency Operating,1170,1070,2.99,10,,New,levy
